Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Tyre_Radius,Speed_mps,Wheel_Omega,R_eff,Slip_Ratio,Traction_Health,Speed_Change,Throttle_Change,Hard_Braking,High_RPM,Full_Throttle,RPM_Danger,Inconsistent_Combo,Gear_Ratio,Expected_RPM,RPM_Deviation,RPM_Deviation_Ratio,Gear_Speed_Mismatch,RPM_per_Gear,Speed_per_Gear,RPM_Speed_Ratio,Throttle_RPM_Product,Throttle_Brake_Conflict,RPM_Hours,Brake_Usage,High_Speed_Miles,Stress_Score,Needs_Maintenance
2023-05-28 13:45:22.912,11006.0,170.0,4,100.0,0,0,car,0 days 00:00:05.705000,0 days 01:44:21.935000,269.9625,720,47.22222222222222,1152.5456248469754,0.04097210658148119,-8.676445354769871e-10,0.95,0.0,0.0,0,0,1,0,0,1.6,27200.0,16194.0,0.595367647036935,0,2751.499312125172,42.499989375002656,64.74117608975779,1.1006,0,3.3363833333333344,5,111.79999999999997,0.5289309246831074,0
2023-05-28 13:45:23.312,11207.0,189.0,4,100.0,0,0,car,0 days 00:00:06.105000,0 days 01:44:22.335000,290.9625,720,52.5,1173.5942956260271,0.044734368726000576,-8.520833738592465e-10,0.95,19.0,0.0,0,0,1,0,0,1.6,30240.000000000004,19033.000000000004,0.6293981481273347,0,2801.749299562675,47.24998818750295,59.29629598255928,1.1207,0,3.523166666666668,5,111.79999999999997,0.5339930469127917,0
2023-05-28 13:45:23.472,10574.0,195.0,5,100.0,0,0,car,0 days 00:00:06.265000,0 days 01:44:22.495000,299.6291666666666,720,54.16666666666667,1107.3066906352824,0.04891749239469758,-9.030922796570421e-10,0.95,6.0,0.0,0,0,1,0,0,1.3,25350.0,14776.0,0.5828796843951527,0,2114.7995770400844,38.99999220000156,54.22564074756082,1.0574,0,3.699400000000001,5,111.79999999999997,0.5180511395924424,0
2023-05-28 13:45:23.832,11027.0,204.0,5,100.0,0,0,car,0 days 00:00:06.625000,0 days 01:44:22.855000,320.02916666666664,720,56.66666666666667,1154.7447397044882,0.049072894354206274,-8.659922508500096e-10,0.95,9.0,0.0,0,0,1,0,0,1.3,26520.0,15493.0,0.5842006032962217,0,2205.399558920088,40.79999184000163,54.05392130365725,1.1027,0,3.8831833333333345,5,132.2,0.5294598031250147,0
2023-05-28 13:45:24.032,11261.0,209.0,5,100.0,0,0,car,0 days 00:00:06.825000,0 days 01:44:23.055000,331.6402777777778,720,58.05555555555556,1179.2491624024888,0.04923094911345775,-8.479973017791157e-10,0.95,5.0,0.0,0,0,1,0,0,1.3,27170.0,15909.0,0.5855355170929136,0,2252.19954956009,41.79999164000167,53.88038251731874,1.1261,0,4.070866666666668,5,143.81111111111113,0.5353530200491249,0
2023-05-28 13:45:24.352,11613.0,216.0,5,100.0,0,0,car,0 days 00:00:07.145000,0 days 01:44:23.375000,350.84027777777777,720,60.0,1216.110516204609,0.049337621171074104,-8.222938045170304e-10,0.95,7.0,0.0,0,1,1,0,0,1.3,28080.0,16467.0,0.5864316239107396,0,2322.599535480093,43.199991360001725,53.763888639982,1.1613,0,4.264416666666668,5,163.01111111111112,0.5442180301229999,0
2023-05-28 13:45:24.632,10535.0,223.0,6,100.0,0,0,car,0 days 00:00:07.425000,0 days 01:44:23.655000,368.1847222222222,720,61.94444444444445,1103.2226201856158,0.05614863514842882,-9.06435478847122e-10,0.95,7.0,0.0,0,0,1,0,0,1.1,24530.0,13995.0,0.5705258866461261,0,1755.833040694493,37.166660472223256,47.242152254519496,1.0535,0,4.440000000000001,5,180.35555555555555,0.5170689367717575,0
2023-05-28 13:45:24.992,10960.0,231.0,6,100.0,0,0,car,0 days 00:00:07.785000,0 days 01:44:24.015000,391.28472222222223,720,64.16666666666667,1147.728516111471,0.05590753014324083,-8.712862399565098e-10,0.95,8.0,0.0,0,0,1,0,0,1.1,25410.000000000004,14450.000000000004,0.5686737504695525,0,1826.666362222273,38.4999935833344,47.445887240493995,1.096,0,4.622666666666668,5,203.45555555555558,0.5277724290484532,0
2023-05-28 13:45:25.232,10989.0,235.0,6,100.0,0,0,car,0 days 00:00:08.025000,0 days 01:44:24.255000,406.9513888888889,720,65.27777777777779,1150.7653890099411,0.05672553097657365,-8.68986979689576e-10,0.95,4.0,0.0,0,0,1,0,0,1.1,25850.0,14861.0,0.574893616999037,0,1831.4996947500508,39.16666013888997,46.76170192867361,1.0989,0,4.805816666666669,5,219.12222222222226,0.5285027849920395,0
2023-05-28 13:45:25.592,11416.0,240.0,6,100.0,0,0,car,0 days 00:00:08.385000,0 days 01:44:24.615000,430.95138888888886,720,66.66666666666667,1195.480724446036,0.05576557216494914,-8.364837230639262e-10,0.95,5.0,0.0,0,1,1,0,0,1.1,26400.0,14984.0,0.5675757575542585,0,1902.6663495556083,39.999993333334444,47.56666646847222,1.1416,0,4.996083333333336,5,243.1222222222222,0.539256646644155,0
2023-05-28 13:45:25.792,11538.0,244.0,6,100.0,0,0,car,0 days 00:00:08.585000,0 days 01:44:24.815000,444.50694444444446,720,67.77777777777779,1208.2565345706346,0.05609551927295617,-8.276387453168297e-10,0.95,4.0,0.0,0,1,1,0,0,1.1,26840.000000000004,15302.000000000004,0.5701192250160165,0,1922.9996795000534,40.66665988889002,47.28688505210293,1.1538,0,5.188383333333336,5,256.6777777777778,0.5423291785447595,0
2023-05-28 13:45:25.992,11321.0,247.0,6,100.0,0,0,car,0 days 00:00:08.785000,0 days 01:44:25.015000,458.22916666666663,720,68.61111111111111,1185.5323477096683,0.05787367268871857,-8.435029782381049e-10,0.95,3.0,0.0,0,1,1,0,0,1.1,27170.000000000004,15849.000000000004,0.5833271990952034,0,1886.8330188611635,41.1666598055567,45.83400791160321,1.1321,0,5.3770666666666695,5,270.4,0.5368641013117171,0
2023-05-28 13:45:26.392,10539.0,252.0,7,100.0,0,0,car,0 days 00:00:09.185000,0 days 01:44:25.415000,486.22916666666663,720,70.0,1103.6414992060943,0.06342639343204128,-9.060913921366849e-10,0.95,5.0,0.0,0,0,1,0,0,0.95,23939.999999999996,13400.999999999996,0.5597744360668431,0,1505.5712134898265,35.99999485714359,41.82142840547052,1.0539,0,5.55271666666667,5,298.4,0.517169675522597,0
