Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-05-28 13:45:41.473,11253.0,134.0,2,94.0,0,0,car,0 days 00:00:24.266000,0 days 01:44:40.496000,1158.9086111111114
2023-05-28 13:45:41.673,10630.0,143.0,2,94.0,0,0,car,0 days 00:00:24.466000,0 days 01:44:40.696000,1166.853055555556
2023-05-28 13:45:41.952,9833.0,138.0,3,1.0,1,0,car,0 days 00:00:24.745000,0 days 01:44:40.975000,1177.548055555556
2023-05-28 13:45:42.152,9133.0,117.0,3,0.0,1,0,car,0 days 00:00:24.945000,0 days 01:44:41.175000,1184.048055555556
2023-05-28 13:45:42.392,8373.0,102.0,3,0.0,1,0,car,0 days 00:00:25.185000,0 days 01:44:41.415000,1190.848055555556
2023-05-28 13:45:43.032,7828.0,77.0,1,0.0,1,0,car,0 days 00:00:25.825000,0 days 01:44:42.055000,1204.5369444444448
2023-05-28 13:45:43.232,7249.0,69.0,1,0.0,1,0,car,0 days 00:00:26.025000,0 days 01:44:42.255000,1208.370277777778
2023-05-28 13:45:43.552,6403.0,59.0,1,0.0,1,0,car,0 days 00:00:26.345000,0 days 01:44:42.575000,1213.6147222222226
2023-05-28 13:45:43.752,5883.0,56.0,1,0.0,1,0,car,0 days 00:00:26.545000,0 days 01:44:42.775000,1216.7258333333336
2023-05-28 13:45:43.952,5445.0,52.0,1,0.0,0,0,car,0 days 00:00:26.745000,0 days 01:44:42.975000,1219.6147222222226
2023-05-28 13:45:44.152,5098.0,49.0,1,0.0,0,0,car,0 days 00:00:26.945000,0 days 01:44:43.175000,1222.3369444444447
2023-05-28 13:45:44.352,4886.0,49.0,1,0.0,0,0,car,0 days 00:00:27.145000,0 days 01:44:43.375000,1225.059166666667
2023-05-28 13:45:44.672,4590.0,48.0,1,3.0,0,0,car,0 days 00:00:27.465000,0 days 01:44:43.695000,1229.3258333333335
2023-05-28 13:45:44.832,5072.0,48.0,1,3.0,0,0,car,0 days 00:00:27.625000,0 days 01:44:43.855000,1231.459166666667
2023-05-28 13:45:45.032,5382.0,44.0,1,10.0,0,0,car,0 days 00:00:27.825000,0 days 01:44:44.055000,1233.903611111111
2023-05-28 13:45:45.392,5971.0,49.0,1,18.0,0,0,car,0 days 00:00:28.185000,0 days 01:44:44.415000,1238.8036111111114
2023-05-28 13:45:45.552,6519.0,52.0,1,23.0,0,0,car,0 days 00:00:28.345000,0 days 01:44:44.575000,1241.1147222222226
2023-05-28 13:45:45.712,6800.0,54.0,1,26.0,0,0,car,0 days 00:00:28.505000,0 days 01:44:44.735000,1243.5147222222226
2023-05-28 13:45:45.872,7324.0,59.0,1,31.0,0,0,car,0 days 00:00:28.665000,0 days 01:44:44.895000,1246.136944444445
2023-05-28 13:45:46.232,8041.0,65.0,1,48.0,0,0,car,0 days 00:00:29.025000,0 days 01:44:45.255000,1252.636944444445
2023-05-28 13:45:46.592,9844.0,86.0,1,64.0,0,0,car,0 days 00:00:29.385000,0 days 01:44:45.615000,1261.236944444445
2023-05-28 13:45:46.752,10723.0,98.0,1,71.0,0,0,car,0 days 00:00:29.545000,0 days 01:44:45.775000,1265.5925000000009
2023-05-28 13:45:46.992,10429.0,101.0,1,25.0,1,0,car,0 days 00:00:29.785000,0 days 01:44:46.015000,1272.325833333334
2023-05-28 13:45:47.392,7712.0,90.0,2,0.0,1,0,car,0 days 00:00:30.185000,0 days 01:44:46.415000,1282.325833333334
2023-05-28 13:45:47.592,7238.0,88.0,2,0.0,1,0,car,0 days 00:00:30.385000,0 days 01:44:46.615000,1287.214722222223
2023-05-28 13:45:47.953,6784.0,82.0,2,0.0,0,0,car,0 days 00:00:30.746000,0 days 01:44:46.976000,1295.437500000001
2023-05-28 13:45:48.153,6626.0,78.0,2,0.0,0,0,car,0 days 00:00:30.946000,0 days 01:44:47.176000,1299.7708333333342
2023-05-28 13:45:48.393,6576.0,77.0,2,8.0,0,0,car,0 days 00:00:31.186000,0 days 01:44:47.416000,1304.9041666666674
2023-05-28 13:45:48.672,7167.0,80.0,2,36.0,0,0,car,0 days 00:00:31.465000,0 days 01:44:47.695000,1311.1041666666674
2023-05-28 13:45:48.952,7145.0,85.0,2,40.0,0,0,car,0 days 00:00:31.745000,0 days 01:44:47.975000,1317.7152777777785
2023-05-28 13:45:49.232,8465.0,89.0,2,47.0,0,0,car,0 days 00:00:32.025000,0 days 01:44:48.255000,1324.6375000000007
2023-05-28 13:45:49.392,8992.0,97.0,2,62.0,0,0,car,0 days 00:00:32.185000,0 days 01:44:48.415000,1328.948611111112
2023-05-28 13:45:49.712,9996.0,106.0,2,72.0,0,0,car,0 days 00:00:32.505000,0 days 01:44:48.735000,1338.370833333334
2023-05-28 13:45:50.072,10261.0,117.0,2,64.0,1,0,car,0 days 00:00:32.865000,0 days 01:44:49.095000,1350.070833333334
